"referenced","bytes","ext","path"
"False","86245558",".gif","media.prev-20260222-173158/animations/finfin8-orig.gif"
"False","78731692",".gif","media.prev-20260222-173158/animations/output-1.gif"
"False","60979761",".gif","media.prev-20260222-173158/animations/vr-transparent-orig.gif"
"False","57314726",".wav","media.prev-20260222-173158/audio/alius-weightlessness-outro.wav"
"False","56402192",".gif","media.prev-20260222-173158/animations/vr-flipped-transparent-orig.gif"
"False","50280794",".gif","media.prev-20260222-173158/animations/ezgif-2-0153de9630-2.gif"
"False","50239879",".gif","media.prev-20260222-173158/animations/trippy-brain-patterns-93d438-1-orig.gif"
"False","44462521",".gif","media.prev-20260222-173158/animations/forward-reverse-gif-2.gif"
"False","41048830",".wav","media.prev-20260222-173158/audio/earlylife-outro.wav"
"False","37547380",".wav","media.prev-20260222-173158/audio/sleep-outro.wav"
"False","22729920",".gif","media.prev-20260222-173158/animations/video-converted-orig.gif"
"False","17146814",".gif","media.prev-20260222-173158/animations/converted-video-orig.gif"
"False","10226700",".gif","media.prev-20260222-173158/animations/ezgif-3-aca8819603-3.gif"
"False","8848124",".mp3","media.prev-20260222-173158/audio/what-is-it-like-to-sleep-matthieu-koroma-1.mp3"
"False","7571326",".gif","media.prev-20260222-173158/animations/ezgif-4-e893a2d506-2.gif"
"False","7495438",".gif","media.prev-20260222-173158/animations/ezgif-6-694c5e7c21-2.gif"
"False","5035414",".gif","media.prev-20260222-173158/animations/ezgif-6-61cf71fce1-orig.gif"
"False","4864709",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-issue-n-2.pdf"
"False","4864709",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-issue-n-2.pdf"
"False","4864709",".pdf","library/pdfs/alius-bulletin-issue-n-2.pdf"
"False","4858806",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-n-2-2018.pdf"
"False","4858806",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-n-2-2018.pdf"
"False","4285306",".gif","media.prev-20260222-173158/animations/lung-mechanics-respiratory-coupling1-orig.gif"
"False","4129934",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-n-4.pdf"
"False","4129934",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-n-4.pdf"
"False","3416942",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-n-1.pdf"
"False","3416942",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-n-1.pdf"
"False","3154556",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-n-5.pdf"
"False","3154556",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-n-5.pdf"
"False","2767942",".png","media.prev-20260222-173158/images/alius-flyer.png"
"False","2566416",".pdf","library.prev-20260222-171600/pdfs/programme-neurosciences-et-engagement-hommage-a-tiziana-zalla.pdf"
"False","2566416",".pdf","library.prev-20260222-173158/pdfs/programme-neurosciences-et-engagement-hommage-a-tiziana-zalla.pdf"
"False","2535033",".png","media.prev-20260222-171600/images/meze-orig.png"
"False","2535033",".png","media.prev-20260222-173158/images/meze-orig.png"
"False","2320979",".png","media.prev-20260222-171600/images/lunch-orig.png"
"False","2320979",".png","media.prev-20260222-173158/images/lunch-orig.png"
"False","2258634",".png","media.prev-20260222-171600/images/phenoneologicalplayground-orig.png"
"False","2258634",".png","media.prev-20260222-173158/images/phenoneologicalplayground-orig.png"
"False","2228351",".png","media.prev-20260222-171600/images/pegasustaxi-orig.png"
"False","2228351",".png","media.prev-20260222-173158/images/pegasustaxi-orig.png"
"False","2215911",".png","media.prev-20260222-171600/images/nature1-orig.png"
"False","2215911",".png","media.prev-20260222-173158/images/nature1-orig.png"
"False","2196776",".png","media.prev-20260222-171600/images/siesta-orig.png"
"False","2196776",".png","media.prev-20260222-173158/images/siesta-orig.png"
"False","2194512",".png","media.prev-20260222-171600/images/meditation-orig.png"
"False","2194512",".png","media.prev-20260222-173158/images/meditation-orig.png"
"False","2105037",".png","media.prev-20260222-171600/images/stratos-orig.png"
"False","2105037",".png","media.prev-20260222-173158/images/stratos-orig.png"
"False","2095274",".gif","media.prev-20260222-173158/images/alterationconsciousness7-orig.gif"
"False","2083947",".png","media.prev-20260222-171600/images/morningglory-orig.png"
"False","2083947",".png","media.prev-20260222-173158/images/morningglory-orig.png"
"False","2056336",".png","media.prev-20260222-173158/images/175320762717901005-4-orig.png"
"False","2005413",".gif","media.prev-20260222-173158/images/breathink-fast-orig.gif"
"False","1894260",".pdf","library.prev-20260222-171600/pdfs/alius-bulletin-3-v-29e-08-2019.pdf"
"False","1894260",".pdf","library.prev-20260222-173158/pdfs/alius-bulletin-3-v-29e-08-2019.pdf"
"False","1585242",".gif","media.prev-20260222-173158/images/bioresponsive-mechanics-orig.gif"
"False","1552876",".png","media.prev-20260222-171600/images/flerner-orig.png"
"False","1552876",".png","media.prev-20260222-173158/images/flerner-orig.png"
"False","1544636",".png","media.prev-20260222-173158/images/breakfast-orig.png"
"False","1486782",".png","media.prev-20260222-171600/images/dinner-orig.png"
"False","1486782",".png","media.prev-20260222-173158/images/dinner-orig.png"
"False","1391638",".gif","media.prev-20260222-171600/images/output-lossless-1.gif"
"False","1391638",".gif","media.prev-20260222-173158/images/output-lossless-1.gif"
"False","1372991",".png","media.prev-20260222-171600/images/sunset-orig.png"
"False","1372991",".png","media.prev-20260222-173158/images/sunset-orig.png"
"False","1281007",".pdf","library.prev-20260222-171600/pdfs/theuseofpsychedelicsinthetreatmentofdisordersofconsciousness-ogosseries-ready2.pdf"
"False","1281007",".pdf","library.prev-20260222-173158/pdfs/theuseofpsychedelicsinthetreatmentofdisordersofconsciousness-ogosseries-ready2.pdf"
"False","1264002",".png","media.prev-20260222-173158/images/chiara-caporuscio-orig.png"
