"referenced","bytes","ext","path"
"False","332790",".pdf","library.prev-20260222-171600/pdfs/doss-m-fejer-g-2024-on-the-cinco-sins-of-psychedelic-research-an-interview-with-manoj-doss-by-george-fejer-alius-bulletin-6-https-doi-org-https-doi-org-10-5281-zenodo-10797875-docx.pdf"
"False","332790",".pdf","library.prev-20260222-173158/pdfs/doss-m-fejer-g-2024-on-the-cinco-sins-of-psychedelic-research-an-interview-with-manoj-doss-by-george-fejer-alius-bulletin-6-https-doi-org-https-doi-org-10-5281-zenodo-10797875-docx.pdf"
"False","85824",".webp","media.prev-20260222-171600/images/dall-e-2024-05-29-18-42-46-a-17th-century-style-pencil-sketch-of-a-black-and-white-abacus-with-everything-in-white-except-for-the-outlines-and-thin-shadows-in-black-the-sketch-orig.webp"
"False","85824",".webp","media.prev-20260222-173158/images/dall-e-2024-05-29-18-42-46-a-17th-century-style-pencil-sketch-of-a-black-and-white-abacus-with-everything-in-white-except-for-the-outlines-and-thin-shadows-in-black-the-sketch-orig.webp"
"False","83518",".webp","media.prev-20260222-171600/images/dall-e-2024-05-29-19-29-58-a-minimalistic-black-and-white-pencil-sketch-in-the-17th-century-style-of-gerard-van-gutschoven-depicting-a-conductor-standing-above-a-group-of-peopl-orig.webp"
"False","83518",".webp","media.prev-20260222-173158/images/dall-e-2024-05-29-19-29-58-a-minimalistic-black-and-white-pencil-sketch-in-the-17th-century-style-of-gerard-van-gutschoven-depicting-a-conductor-standing-above-a-group-of-peopl-orig.webp"
"False","74730",".webp","media.prev-20260222-171600/images/dall-e-2024-05-29-20-55-18-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-the-sketch-shows-three-interconnected-train-carts-going-horizontal-orig.webp"
"False","74730",".webp","media.prev-20260222-173158/images/dall-e-2024-05-29-20-55-18-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-the-sketch-shows-three-interconnected-train-carts-going-horizontal-orig.webp"
"False","66502",".webp","media.prev-20260222-171600/images/dall-e-2024-05-29-19-59-44-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-featuring-thin-lines-for-shading-and-contours-the-sketch-shows-a-orig.webp"
"False","66502",".webp","media.prev-20260222-173158/images/dall-e-2024-05-29-19-59-44-a-minimalistic-black-and-white-pencil-sketch-in-the-style-of-gerard-van-gutschoven-featuring-thin-lines-for-shading-and-contours-the-sketch-shows-a-orig.webp"
